#,id,authors,year,title,venue,apa,doi,tags,catalog,synthetic,citable,doi_url
1,survey_kg_0056,Ahmed et al.,2022,Explainable KG paths for dark web monitoring,CIKM,Ahmed et al. (2022). Explainable KG paths for dark web monitoring. CIKM.,,kg,extended,true,false,
2,survey_kg_0116,Ahmed et al.,2022,Explainable KG paths for dark web monitoring,CIKM,Ahmed et al. (2022). Explainable KG paths for dark web monitoring. CIKM.,,kg,extended,true,false,
3,survey_kg_0176,Ahmed et al.,2022,Explainable KG paths for dark web monitoring,CIKM,Ahmed et al. (2022). Explainable KG paths for dark web monitoring. CIKM.,,kg,extended,true,false,
4,survey_kg_0236,Ahmed et al.,2022,Explainable KG paths for dark web monitoring,CIKM,Ahmed et al. (2022). Explainable KG paths for dark web monitoring. CIKM.,,kg,extended,true,false,
5,survey_kg_0296,Ahmed et al.,2022,Explainable KG paths for dark web monitoring,CIKM,Ahmed et al. (2022). Explainable KG paths for dark web monitoring. CIKM.,,kg,extended,true,false,
6,survey_kg_0026,Ahmed et al.,2022,Incremental KG update methods for dark web monitoring,CIKM,Ahmed et al. (2022). Incremental KG update methods for dark web monitoring. CIKM.,,kg,extended,true,false,
7,survey_kg_0086,Ahmed et al.,2022,Incremental KG update methods for dark web monitoring,CIKM,Ahmed et al. (2022). Incremental KG update methods for dark web monitoring. CIKM.,,kg,extended,true,false,
8,survey_kg_0146,Ahmed et al.,2022,Incremental KG update methods for dark web monitoring,CIKM,Ahmed et al. (2022). Incremental KG update methods for dark web monitoring. CIKM.,,kg,extended,true,false,
9,survey_kg_0206,Ahmed et al.,2022,Incremental KG update methods for dark web monitoring,CIKM,Ahmed et al. (2022). Incremental KG update methods for dark web monitoring. CIKM.,,kg,extended,true,false,
10,survey_kg_0266,Ahmed et al.,2022,Incremental KG update methods for dark web monitoring,CIKM,Ahmed et al. (2022). Incremental KG update methods for dark web monitoring. CIKM.,,kg,extended,true,false,
11,survey_kg_0032,Asai et al.,2018,Graph embeddings for reasoning in scientific literature,ICML,Asai et al. (2018). Graph embeddings for reasoning in scientific literature. ICML.,,"kg, rag",extended,true,false,
12,survey_kg_0092,Asai et al.,2018,Graph embeddings for reasoning in scientific literature,ICML,Asai et al. (2018). Graph embeddings for reasoning in scientific literature. ICML.,,"kg, rag",extended,true,false,
13,survey_kg_0152,Asai et al.,2018,Graph embeddings for reasoning in scientific literature,ICML,Asai et al. (2018). Graph embeddings for reasoning in scientific literature. ICML.,,"kg, rag",extended,true,false,
14,survey_kg_0212,Asai et al.,2018,Graph embeddings for reasoning in scientific literature,ICML,Asai et al. (2018). Graph embeddings for reasoning in scientific literature. ICML.,,"kg, rag",extended,true,false,
15,survey_kg_0272,Asai et al.,2018,Graph embeddings for reasoning in scientific literature,ICML,Asai et al. (2018). Graph embeddings for reasoning in scientific literature. ICML.,,"kg, rag",extended,true,false,
16,survey_kg_0002,Asai et al.,2018,Knowledge graph construction for scientific literature,ICML,Asai et al. (2018). Knowledge graph construction for scientific literature. ICML.,,"kg, rag",extended,true,false,
17,survey_kg_0062,Asai et al.,2018,Knowledge graph construction for scientific literature,ICML,Asai et al. (2018). Knowledge graph construction for scientific literature. ICML.,,"kg, rag",extended,true,false,
18,survey_kg_0122,Asai et al.,2018,Knowledge graph construction for scientific literature,ICML,Asai et al. (2018). Knowledge graph construction for scientific literature. ICML.,,"kg, rag",extended,true,false,
19,survey_kg_0182,Asai et al.,2018,Knowledge graph construction for scientific literature,ICML,Asai et al. (2018). Knowledge graph construction for scientific literature. ICML.,,"kg, rag",extended,true,false,
20,survey_kg_0242,Asai et al.,2018,Knowledge graph construction for scientific literature,ICML,Asai et al. (2018). Knowledge graph construction for scientific literature. ICML.,,"kg, rag",extended,true,false,
21,survey_kg_0302,Asai et al.,2018,Knowledge graph construction for scientific literature,ICML,Asai et al. (2018). Knowledge graph construction for scientific literature. ICML.,,"kg, rag",extended,true,false,
22,asai2024selfrag,Asai et al.,2024,"Self-RAG: Learning to retrieve, generate, and critique through self-reflection",ICLR,"Asai et al. (2024). Self-RAG: Learning to retrieve, generate, and critique through self-reflection. ICLR. https://doi.org/10.48550/arXiv.2310.11511",10.48550/arXiv.2310.11511,"rag, hallucination",core,false,true,https://doi.org/10.48550/arXiv.2310.11511
23,survey_cti_0058,Brown et al.,2024,Automated report triage in endpoint detection telemetry,Cybersecurity,Brown et al. (2024). Automated report triage in endpoint detection telemetry. Cybersecurity.,,cti,extended,true,false,
24,survey_cti_0118,Brown et al.,2024,Automated report triage in endpoint detection telemetry,Cybersecurity,Brown et al. (2024). Automated report triage in endpoint detection telemetry. Cybersecurity.,,cti,extended,true,false,
25,survey_cti_0178,Brown et al.,2024,Automated report triage in endpoint detection telemetry,Cybersecurity,Brown et al. (2024). Automated report triage in endpoint detection telemetry. Cybersecurity.,,cti,extended,true,false,
26,survey_cti_0238,Brown et al.,2024,Automated report triage in endpoint detection telemetry,Cybersecurity,Brown et al. (2024). Automated report triage in endpoint detection telemetry. Cybersecurity.,,cti,extended,true,false,
27,survey_cti_0298,Brown et al.,2024,Automated report triage in endpoint detection telemetry,Cybersecurity,Brown et al. (2024). Automated report triage in endpoint detection telemetry. Cybersecurity.,,cti,extended,true,false,
28,survey_cti_0028,Brown et al.,2024,LLM assistants for SOC/CTI in endpoint detection telemetry,Cybersecurity,Brown et al. (2024). LLM assistants for SOC/CTI in endpoint detection telemetry. Cybersecurity.,,cti,extended,true,false,
29,survey_cti_0088,Brown et al.,2024,LLM assistants for SOC/CTI in endpoint detection telemetry,Cybersecurity,Brown et al. (2024). LLM assistants for SOC/CTI in endpoint detection telemetry. Cybersecurity.,,cti,extended,true,false,
30,survey_cti_0148,Brown et al.,2024,LLM assistants for SOC/CTI in endpoint detection telemetry,Cybersecurity,Brown et al. (2024). LLM assistants for SOC/CTI in endpoint detection telemetry. Cybersecurity.,,cti,extended,true,false,
31,survey_cti_0208,Brown et al.,2024,LLM assistants for SOC/CTI in endpoint detection telemetry,Cybersecurity,Brown et al. (2024). LLM assistants for SOC/CTI in endpoint detection telemetry. Cybersecurity.,,cti,extended,true,false,
32,survey_cti_0268,Brown et al.,2024,LLM assistants for SOC/CTI in endpoint detection telemetry,Cybersecurity,Brown et al. (2024). LLM assistants for SOC/CTI in endpoint detection telemetry. Cybersecurity.,,cti,extended,true,false,
33,survey_rag_0012,Chen et al.,2018,Adaptive retrieval for vulnerability databases,USENIX Security,Chen et al. (2018). Adaptive retrieval for vulnerability databases. USENIX Security.,,"rag, hallucination",extended,true,false,
34,survey_rag_0072,Chen et al.,2018,Adaptive retrieval for vulnerability databases,USENIX Security,Chen et al. (2018). Adaptive retrieval for vulnerability databases. USENIX Security.,,"rag, hallucination",extended,true,false,
35,survey_rag_0132,Chen et al.,2018,Adaptive retrieval for vulnerability databases,USENIX Security,Chen et al. (2018). Adaptive retrieval for vulnerability databases. USENIX Security.,,"rag, hallucination",extended,true,false,
36,survey_rag_0192,Chen et al.,2018,Adaptive retrieval for vulnerability databases,USENIX Security,Chen et al. (2018). Adaptive retrieval for vulnerability databases. USENIX Security.,,"rag, hallucination",extended,true,false,
37,survey_rag_0252,Chen et al.,2018,Adaptive retrieval for vulnerability databases,USENIX Security,Chen et al. (2018). Adaptive retrieval for vulnerability databases. USENIX Security.,,"rag, hallucination",extended,true,false,
